t,th1,w1,th2,w2,l1,l2,l3,l40,1,-3,-1,5,0,0,0,0
3.48,2.33589,-0.743391,1.37515,1.22325,23.8268,1.55623,-15.8897,0
3.52,2.30353,-0.87515,1.42028,1.03769,23.9096,1.64341,-15.9627,0
3.56,2.26583,-1.01075,1.45856,0.881797,23.9877,1.73842,-16.0355,0
3.6,2.22259,-1.15262,1.49128,0.760048,24.0576,1.83894,-16.1068,0
3.64,2.17351,-1.30291,1.51988,0.676667,24.112,1.94222,-16.1751,0
3.68,2.11822,-1.46346,1.54597,0.635005,24.1391,2.04518,-16.2388,0
3.72,2.05628,-1.63556,1.57125,0.636401,24.1198,2.14419,-16.296,0
3.76,1.98721,-1.81959,1.59742,0.678167,24.0268,2.23362,-16.3433,0
3.8,1.91057,-2.01432,1.62592,0.750372,23.8279,2.29985,-16.3747,0
3.84,1.82598,-2.21593,1.65758,0.831656,23.5101,2.29782,-16.3767,0
3.88,1.73329,-2.41729,1.6921,0.886097,23.1542,2.08388,-16.3218,0
3.92,1.63273,-2.60863,1.72747,0.865643,22.9478,1.4979,-16.2371,0
3.96,1.52487,-2.78044,1.7597,0.721748,22.8989,1.26386,-16.8019,0
4,1.41063,-2.92717,1.78311,0.421196,22.9026,1.44861,-17.8908,0
4.04,1.29104,-3.04799,1.79116,-0.0462839,22.9241,1.53635,-18.8743,0
4.08,1.16712,-3.14369,1.77728,-0.672987,22.9532,1.55492,-19.7286,0
4.12,1.0399,-3.21251,1.73542,-1.44221,22.9805,1.54438,-20.4769,0
4.16,0.910565,-3.24784,1.66028,-2.33305,22.9973,1.5249,-21.1424,0
4.2,0.780668,-3.23846,1.54748,-3.32063,22.9962,1.50923,-21.7533,0
4.24,0.652258,-3.17151,1.39374,-4.37504,22.9695,1.50907,-22.3536,0
4.28,0.527836,-3.03838,1.19707,-5.4594,22.9074,1.53709,-23.0239,0
4.32,0.410006,-2.84485,0.957262,-6.5216,22.8053,1.60266,-23.9204,0
4.36,0.3006,-2.6265,0.676862,-7.46703,22.6898,1.69644,-25.3076,0
4.4,0.199176,-2.46234,0.363813,-8.11633,22.6026,1.78346,-27.4157,0
4.44,0.101571,-2.44861,0.0345855,-8.24435,22.5441,1.8398,-30.02,0
4.48,0.000901097,-2.60973,-0.287806,-7.78728,22.5021,1.86702,-32.3891,0
4.52,-0.108512,-2.86843,-0.582879,-6.91666,22.4805,1.87061,-34.0674,0
4.56,-0.228588,-3.12982,-0.838407,-5.8378,22.4929,1.85708,-35.1837,0
4.6,-0.358187,-3.3392,-1.04881,-4.67512,22.546,1.83559,-36.0325,0
4.64,-0.494798,-3.47987,-1.21224,-3.49871,22.6299,1.81192,-36.8135,0
4.68,-0.635719,-3.55646,-1.32922,-2.36075,22.7198,1.78917,-37.6236,0
4.72,-0.778626,-3.5813,-1.40226,-1.30991,22.7878,1.77178,-38.5133,0
4.76,-0.921674,-3.56466,-1.43584,-0.396669,22.8121,1.76409,-39.5258,0
4.8,-1.06328,-3.50858,-1.43657,0.323185,22.7867,1.76811,-40.7028,0
4.84,-1.20175,-3.40651,-1.41332,0.793873,22.7259,1.78225,-42.0452,0
4.88,-1.33509,-3.25178,-1.37679,0.986903,22.652,1.803,-43.4446,0
4.92,-1.46125,-3.0498,-1.33766,0.935424,22.5736,1.8284,-44.7007,0
4.96,-1.57869,-2.81929,-1.30404,0.728274,22.4877,1.85707,-45.6601,0
5,-1.6867,-2.58106,-1.28017,0.462246,22.3922,1.88534,-46.2995,0
5.04,-1.78526,-2.34908,-1.26691,0.20587,22.2962,1.90613,-46.6831,0
5.08,-1.8748,-2.12987,-1.26308,-0.00462409,22.2228,1.91169,-46.9009,0
5.12,-1.95585,-1.92531,-1.26648,-0.154827,22.2033,1.90433,-47.0441,0
5.16,-2.02901,-1.73526,-1.27462,-0.242082,22.2547,1.90668,-47.1916,0
5.2,-2.09485,-1.55877,-1.28504,-0.269311,22.3644,1.94158,-47.3789,0
5.24,-2.15388,-1.39467,-1.29544,-0.24179,22.5047,2.00645,-47.5927,0
5.28,-2.20657,-1.24171,-1.30373,-0.165576,22.6533,2.08628,-47.8068,0
5.32,-2.25335,-1.09853,-1.30811,-0.0467545,22.7982,2.17051,-48.0066,0
5.36,-2.29457,-0.963641,-1.30698,0.108888,22.9343,2.25459,-48.1881,0
5.4,-2.33053,-0.835393,-1.29898,0.295993,23.0601,2.33712,-48.3524,0
5.44,-2.36146,-0.711914,-1.28295,0.509655,23.1757,2.41787,-48.502,0
5.48,-2.38752,-0.591118,-1.25792,0.745408,23.2821,2.49712,-48.6395,0
5.52,-2.40876,-0.470701,-1.22308,0.999192,23.3808,2.57535,-48.7672,0
5.56,-2.42515,-0.348162,-1.17779,1.26732,23.4734,2.65329,-48.8871,0
